Parameter,bsUpdate,FactoryDefault,DataType,Access,SourceFile
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.MS12.DAPv2_Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.MS12.DE_Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.MTLS.mTlsXcSsr.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ManageableNotification.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Miracast.Enable,allUpdate,TRUE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.NTP.failoverServer,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.NonPersistent.WebPACDL.Enable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.NonRootSupport.ApparmorBlocklist,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.NonRootSupport.Blocklist,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.NonRootSupport.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.PeriodicFWCheck.Enable,,,boolean,readWrite,data-model-generic.xml
